.	0	2	14	21	27	32	
T	30	30544	32661	35243	74739	1057816	
T	31	14	21	27	32	36	
T	31	31262	33520	36126	75557	1067093	
T	32	14	21	27	32	36	
T	32	31390	33638	36256	75563	1078278	
T	33	14	21	27	32	36	
T	33	31496	33991	36654	75558	1089365	
T	34	14	21	27	32	36	
T	34	31782	34535	36958	74639	1086263	
T	35	14	21	27	32	36	
T	35	30898	33913	36116	72276	1075590	
T	36	14	21	27	32	36	
T	36	31051	34464	36621	71440	1066831	
T	37	14	21	27	32	36	
T	37	30329	34203	36379	69510	1058382	
T	38	14	21	27	32	36	
T	38	30227	34383	36546	68747	1057895	
T	39	14	21	27	32	36	
T	39	29862	33957	36271	67188	1061366	
T	40	14	21	27	32	36	
T	40	29664	33653	35758	65492	1060816	
T	41	14	21	27	32	36	
T	41	29757	33693	35999	64245	1068995	
T	42	14	21	27	32	36	
T	42	30528	34608	36824	65404	1085331	
T	43	14	21	27	32	36	
T	43	30146	33944	36481	63721	1080472	
T	44	14	21	27	32	36	
T	44	30607	34185	36943	64599	1081435	
T	45	14	21	27	32	36	
T	45	30616	34274	37187	64792	1080986	
T	46	14	21	27	32	36	
T	46	30040	33480	36261	65106	1066938	
T	47	14	21	27	32	36	
T	47	30503	34031	36689	66958	1061973	
T	48	14	21	27	32	36	
T	48	31015	34899	37575	69716	1061735	
T	49	14	21	27	32	36	
T	49	31736	35858	38581	72286	1057158	
T	50	14	21	27	32	36	
T	50	32672	37066	39928	75165	1059781	
T	51	14	21	27	32	36	
T	51	33956	38363	41373	78501	1067875	
T	52	14	21	27	32	36	
T	52	34620	39072	42309	81094	1069834	
T	53	14	21	27	32	36	
T	53	34972	39414	43205	83440	1080281	
T	54	14	21	27	32	36	
T	54	35126	39562	43720	86348	1082599	
T	55	14	21	27	32	36	
T	55	34632	38804	43291	86896	1072836	
T	56	14	21	27	32	36	
T	56	34720	38821	44298	90086	1065138	
T	57	14	21	27	32	36	
T	57	35122	39176	45151	91771	1057951	
T	58	14	21	27	32	36	
T	58	35090	39044	46411	93262	1052478	
T	59	14	21	27	32	36	
T	59	34956	38843	47031	95407	1055127	
T	60	14	21	27	32	36	
T	60	35065	38886	47603	96483	1060092	
T	61	14	21	27	32	36	
T	61	35228	39211	48580	98688	1056611	
T	62	14	21	27	32	36	
T	62	36024	40070	49919	101232	1067317	
T	63	14	21	27	32	36	
T	63	36688	40955	50992	103549	1070787	
T	64	14	21	27	32	36	
T	64	36767	40941	51440	104100	1067969	
T	65	14	21	27	32	36	
T	65	37500	41482	52224	105518	1069855	
T	66	14	21	27	32	36	
T	66	38218	42098	52895	106839	1065170	
T	67	14	21	27	32	36	
T	67	38779	42399	53103	106539	1050649	
T	68	14	21	27	32	36	
T	68	39199	42925	53630	107443	1048113	
T	69	14	21	27	32	36	
T	69	40012	43483	54414	108411	1048359	
T	70	14	21	27	32	36	
T	70	41230	44338	55360	109254	1050577	
T	71	14	21	27	32	36	
T	71	42047	44902	56427	111055	1052068	
T	72	14	21	27	32	36	
T	72	42909	45481	57007	111133	1059731	
T	73	14	21	27	32	36	
