.	0	2	11	22	27	32	37	
.	141	2	7	11	22	27	32	37	42	
.	141	962302	1289193	9695946	12896560	17132787	22381465	26085274	30361577	
.	142	2	7	11	22	27	32	37	42	
.	142	960432	1299342	9829861	13092195	17294627	22519169	26186880	30361577	
.	143	2	7	11	22	27	32	37	42	
.	143	31131	386035	9821227	13206567	17516035	22756675	26345282	30361577	
.	144	2	7	11	22	27	32	37	42	
.	144	964047	1324170	10419358	13896019	18085396	23138904	26574522	30361577	
.	145	2	7	11	22	27	32	37	42	
.	145	1702068	2069008	11167791	14405793	18491218	23430241	26752808	30361577	
.	146	2	7	11	22	27	32	37	42	
.	146	1012974	1376882	10849610	14128979	18386049	23470160	26798641	30361577	
.	147	2	7	11	22	27	32	37	42	
.	147	1010184	1384128	11132449	14493783	18703333	23713689	26946303	30361577	
.	148	2	7	11	22	27	32	37	42	
.	148	1469843	1845967	11544526	14877739	19008955	23914044	27063780	30361577	
.	149	2	7	11	22	27	32	37	42	
.	149	32707	415149	10761560	14450713	18828635	23907171	27087046	30361577	
A	0	11	22	27	32	37	
A	0	353883	393818	1174490	7160029	7160136	
A	1	11	22	27	32	37	
A	1	474425	522010	1492754	7421751	7483595	
A	2	11	22	27	32	37	
A	2	538930	617171	1372499	3213196	8658491	
A	3	11	22	27	32	37	
A	3	357327	411818	855745	1900815	8898610	
A	4	11	22	27	32	37	
A	4	354108	475262	865281	1808341	9694391	
A	5	7	11	22	27	32	37	42	
A	5	7351	325864	544655	810057	1573618	3516994	10800903	
A	6	7	11	22	27	32	37	42	
A	6	6810	256853	451789	600413	1116087	2309252	7326731	
A	7	7	11	22	27	32	37	42	
A	7	4732	285482	516121	670045	1260210	2590138	8719246	
A	8	7	11	22	27	32	37	42	
A	8	4387	266605	445965	561566	1003625	2062125	8056379	
A	9	7	11	22	27	32	37	42	
A	9	3309	329336	638645	822294	1593837	3323318	11222620	
A	10	7	11	22	27	32	37	42	
A	10	1952	269415	487420	632122	1184724	2508736	9622805	
A	11	7	11	22	27	32	37	42	
A	11	2157	251559	452424	580906	1064881	2236209	8670955	
A	12	7	11	22	27	32	37	42	
A	12	3330	287239	536103	685788	1281388	2649875	9217433	
A	13	7	11	22	27	32	37	42	
A	13	3460	269423	485860	622269	1137816	2375059	9240891	
A	14	7	11	22	27	32	37	42	
A	14	4739	276634	506392	649885	1194051	2477974	9110850	
A	15	7	11	22	27	32	37	42	
A	15	7373	284563	505217	640899	1163908	2400530	9269981	
A	16	7	11	22	27	32	37	42	
A	16	5149	292502	542558	686631	1261064	2572258	9159818	
A	17	7	11	22	27	32	37	42	
A	17	3423	292239	534713	679096	1236781	2533050	9210711	
A	18	7	11	22	27	32	37	42	
A	18	2742	267063	486479	630641	1130911	2344785	9010862	
A	19	7	11	22	27	32	37	42	
A	19	2833	278540	525101	681536	1251109	2603413	9414364	
A	20	7	11	22	27	32	37	42	
A	20	2555	263608	486746	636523	1152433	2417300	9389024	
A	21	7	11	22	27	32	37	42	
A	21	2986	280752	524853	682278	1234593	2564182	9380243	
A	22	7	11	22	27	32	37	42	
A	22	3678	298010	569253	747433	1359258	2783916	9433429	
A	23	7	11	22	27	32	37	42	
A	23	3840	295278	551492	730676	1293729	2692452	9389791	
A	24	7	11	22	27	32	37	42	
A	24	3858	351329	675395	878038	1590779	3180532	9382314	
A	25	7	11	22	27	32	37	42	
A	25	2939	297369	569811	761397	1360392	2829624	9536914	
A	26	7	11	22	27	32	37	42	
A	26	2947	299788	556095	742899	1298015	2675098	9315066	
A	27	7	11	22	27	32	37	42	
A	27	3466	328348	619175	819402	1452783	2915432	9295993	
A	28	7	11	22	27	32	37	42	
A	28	3941	341130	650145	862439	1527529	3032178	9434608	
A	29	7	11	22	27	32	37	42	
A	29	4196	321399	605588	796509	1397894	2796304	9084019	
A	30	7	11	22	27	32	37	42	
A	30	5757	313877	575852	755801	1334993	2694537	9294298	
A	31	7	11	22	27	32	37	42	
A	31	4472	345755	648657	849137	1485766	2928937	9291171	
A	32	7	11	22	27	32	37	42	
A	32	4630	358553	678217	885665	1566397	3060275	9279090	
A	33	7	11	22	27	32	37	42	
A	33	4906	351875	651691	851720	1462402	2883632	9427183	
A	34	7	11	22	27	32	37	42	
A	34	4161	349123	650050	853968	1494608	2944207	9416829	
A	35	7	11	22	27	32	37	42	
A	35	4607	373720	679105	888068	1561588	3045709	9408407	
A	36	7	11	22	27	32	37	42	
A	36	4414	386067	674679	882689	1527112	2973449	9209432	
A	37	7	11	22	27	32	37	42	
A	37	5056	405313	700683	915028	1586369	3085753	9392015	
A	38	7	11	22	27	32	37	42	
A	38	4337	413402	666759	871329	1506073	2936821	9142876	
A	39	7	11	22	27	32	37	42	
A	39	6267	428575	686350	896081	1547177	3006000	9295177	
A	40	7	11	22	27	32	37	42	
A	40	5994	417865	685018	897179	1579485	3080154	9369030	
A	41	7	11	22	27	32	37	42	
A	41	4725	421667	677433	887551	1537796	2996840	9294177	
A	42	7	11	22	27	32	37	42	
A	42	4939	420616	702124	917291	1586896	3067758	9395765	
A	43	7	11	22	27	32	37	42	
A	43	4783	423126	701561	921319	1599688	3095081	9386592	
A	44	7	11	22	27	32	37	42	
A	44	4945	438755	707135	924195	1588609	3067520	9260800	
A	45	7	11	22	27	32	37	42	
A	45	5373	450158	719883	938851	1623113	3137307	9338044	
A	46	7	11	22	27	32	37	42	
A	46	4929	455941	728517	949474	1625250	3131649	9387459	
A	47	7	11	22	27	32	37	42	
A	47	5013	449594	724571	945857	1634594	3148647	9304670	
A	48	7	11	22	27	32	37	42	
A	48	5307	452453	722493	942364	1611017	3096229	9192188	
A	49	7	11	22	27	32	37	42	
A	49	5469	488019	780503	1012348	1721765	3273168	9434136	
A	50	7	11	22	27	32	37	42	
A	50	5569	508063	820062	1060288	1787683	3356368	9388094	
A	51	7	11	22	27	32	37	42	
A	51	6564	521940	830341	1075888	1814353	3419181	9533610	
A	52	7	11	22	27	32	37	42	
A	52	6391	534227	858310	1110308	1866164	3505733	9678172	
A	53	7	11	22	27	32	37	42	
A	53	5775	519139	825006	1072764	1805804	3405201	9449535	
A	54	7	11	22	27	32	37	42	
A	54	6412	529068	839298	1086974	1825102	3422623	9451514	
A	55	7	11	22	27	32	37	42	
A	55	6214	534214	860377	1114207	1870661	3517491	9685390	
A	56	7	11	22	27	32	37	42	
A	56	6922	539185	853186	1104937	1850390	3449779	9278527	
A	57	7	11	22	27	32	37	42	
A	57	6777	564507	900759	1165772	1943514	3587917	9425709	
A	58	7	11	22	27	32	37	42	
A	58	6898	581025	927709	1200093	1995561	3674974	9604250	
A	59	7	11	22	27	32	37	42	
A	59	6862	589983	933137	1204797	1988807	3643712	9473479	
A	60	7	11	22	27	32	37	42	
A	60	6533	590455	935026	1207466	2001048	3661119	9448349	
A	61	7	11	22	27	32	37	42	
A	61	6791	603460	956686	1234632	2050576	3751961	9582274	
A	62	7	11	22	27	32	37	42	
A	62	6768	594274	948792	1223524	2048576	3738712	9452328	
A	63	7	11	22	27	32	37	42	
A	63	7672	615280	977200	1262801	2090048	3778260	9554610	
A	64	7	11	22	27	32	37	42	
A	64	9125	629304	993505	1278681	2109470	3810272	9597040	
A	65	7	11	22	27	32	37	42	
A	65	7754	629541	998823	1283160	2114165	3807018	9437061	
A	66	7	11	22	27	32	37	42	
A	66	7965	628057	994373	1281330	2116116	3833970	9552222	
A	67	7	11	22	27	32	37	42	
A	67	7699	653115	1034560	1330281	2186286	3925480	9633976	
A	68	7	11	22	27	32	37	42	
A	68	7996	704013	1108669	1409957	2268318	3996702	9560253	
A	69	7	11	22	27	32	37	42	
A	69	8948	722819	1135593	1433081	2286418	4021751	9541955	
A	70	7	11	22	27	32	37	42	
A	70	8889	754882	1181037	1488583	2367584	4134800	9566526	
A	71	7	11	22	27	32	37	42	
A	71	8614	738775	1148313	1451064	2312036	4060314	9383950	
A	72	7	11	22	27	32	37	42	
A	72	8387	765296	1184185	1491660	2368878	4132471	9378507	
A	73	7	11	22	27	32	37	42	
A	73	9257	781716	1214326	1534510	2450109	4290608	9635954	
A	74	7	11	22	27	32	37	42	
A	74	9294	798014	1226556	1550549	2458877	4276107	9528084	
A	75	7	11	22	27	32	37	42	
A	75	9239	793914	1228641	1556693	2481789	4325146	9607529	
A	76	7	11	22	27	32	37	42	
A	76	8751	844905	1315985	2022569	3960260	6260494	9688591	
A	77	7	11	22	27	32	37	42	
A	77	9352	757724	1134323	1600020	2866376	5130452	9465544	
A	78	7	11	22	27	32	37	42	
A	78	8704	672940	1034894	1385034	2365584	4347574	9505237	
A	79	7	11	22	27	32	37	42	
A	79	9556	655664	1013368	1329076	2237330	4095051	9656156	
A	80	7	11	22	27	32	37	42	
A	80	8956	642807	987407	1293276	2169709	3904007	9449747	
A	81	7	11	22	27	32	37	42	
A	81	11829	659620	1009305	1317558	2214198	3951674	9579417	
