.	7	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	
.	7	983	1331	1773	2678	3396	4131	4840	5707	6531	7577	8550	9705	10831	12372	14122	16008	18193	20620	23424	26999	30074	33662	37927	41143	45771	50896	56512	62164	68386	74669	81996	90119	99803	109052	121679	131945	149190	163925	186492	6622673	
.	8	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	
.	8	1	908	1159	1565	2446	3138	3809	4543	5323	6073	7257	8424	9710	10793	12149	13663	15547	17897	20373	22978	26742	29702	32894	36945	39938	44291	48893	53876	58868	64784	70542	77584	85107	94688	103061	115164	124570	140893	154321	176029	6622673	
.	9	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	
.	9	864	1161	1576	2402	3055	3749	4373	5131	5914	6893	7909	9204	10290	11735	13350	15052	17378	19504	22513	25557	28749	31331	34997	38027	42709	46995	52121	57186	63756	69926	77137	84491	94494	103191	115440	125173	142439	156617	178710	6622673	
.	10	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	
.	10	882	1258	1768	2709	3458	4305	5052	5921	6817	7936	9079	10353	11641	13129	14820	16627	18990	21254	23918	27053	30285	33626	37917	41114	45767	50697	56087	61654	67872	74127	81745	89849	99805	108941	121450	131440	148839	163406	185544	6622673	
.	11	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	
.	11	701	986	1398	2199	2886	3568	4209	4870	5601	6495	7400	8531	9481	10847	12464	14109	16288	18446	21432	24542	27524	30202	33972	36821	41324	45518	50602	55683	61941	67957	74912	82162	91908	100342	112441	122076	138723	152470	174112	6622673	
.	12	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	
.	12	819	1144	1633	2485	3187	3935	4606	5391	6142	7122	8094	9249	10364	11684	13186	14740	16982	19131	21582	24654	27602	30698	34868	38057	42448	47183	52626	57897	64301	70480	77797	85484	95504	104336	116995	126869	144286	158647	180912	6622673	
