.	10	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	
.	10	18	15855	158200	256985	433802	584107	751110	987222	1300758	1634428	1993651	2365226	2767215	3116959	3647284	4091379	4455361	4934572	5438567	5879035	6493178	6985416	7701993	8265533	9091655	9723466	10465971	11504442	12293318	13629739	14614522	15741992	17053255	18615086	20182063	21931068	23568354	26134048	28152119	31604986	666012608	
.	11	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	
.	11	12	18856	156459	251018	415042	556696	712724	929734	1217715	1523078	1848770	2191269	2565997	2896006	3373020	3777757	4116672	4554833	5021389	5433677	6004477	6468446	7136464	7670409	8436613	9040632	9748622	10722909	11470930	12733241	13670338	14751703	16004589	17472811	18959522	20641494	22192637	24646756	26586701	29934397	666012608	
.	12	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	
.	12	54	19607	156694	250960	405886	544632	700650	923871	1225815	1547667	1890194	2247307	2639370	2983258	3474915	3892541	4237451	4686813	5160650	5579136	6157273	6622196	7295938	7832546	8612116	9212592	9917837	10897732	11641998	12908718	13841937	14911585	16165593	17645182	19130445	20811113	22377650	24857339	26812098	30202112	666012608	
.	13	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	
.	13	30699	50015	187865	282705	439896	580066	735301	956382	1255739	1574130	1912872	2267396	2654987	2995555	3472762	3883430	4225394	4668402	5135787	5550353	6121123	6583082	7248799	7781393	8549623	9146227	9848716	10818420	11561601	12818477	13749450	14820274	16069057	17536126	19015287	20689811	22246127	24708320	26649955	30015569	666012608	
.	14	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	
.	14	1383	20931	150840	239574	387190	519570	667009	876449	1159486	1461843	1783923	2121402	2495807	2824628	3286072	3681187	4010521	4438150	4891965	5292708	5846661	6293706	6942049	7460044	8209376	8790761	9475528	10430137	11151959	12385053	13291299	14338270	15559375	16997640	18443204	20090051	21606417	24032134	25945201	29284975	666012608	
